image,tag1,tag2,tag3,tag4,tag5
37521865600_6f032a8855.jpg,"('n03991062', 'pot', 0.1307712)","('n03930313', 'picket_fence', 0.089473814)","('n02843684', 'birdhouse', 0.065605499)","('n11939491', 'daisy', 0.05018821)","('n02280649', 'cabbage_butterfly', 0.046517473)"
23926288178_b3890c025a.jpg,"('n04326547', 'stone_wall', 0.34578648)","('n09399592', 'promontory', 0.22361729)","('n09332890', 'lakeside', 0.083260104)","('n02980441', 'castle', 0.071575373)","('n02814860', 'beacon', 0.065986827)"
37109929673_e80a391f80.jpg,"('n09472597', 'volcano', 0.41531327)","('n09193705', 'alp', 0.17603977)","('n09288635', 'geyser', 0.052467506)","('n09468604', 'valley', 0.045870326)","('n09399592', 'promontory', 0.038541429)"
37521808530_a03a8cc8a3.jpg,"('n03028079', 'church', 0.29389533)","('n03877845', 'palace', 0.16723898)","('n03388043', 'fountain', 0.095173836)","('n02097298', 'Scotch_terrier', 0.068077832)","('n02825657', 'bell_cote', 0.040058691)"
37747967722_ddc568d41a.jpg,"('n09246464', 'cliff', 0.74969333)","('n04366367', 'suspension_bridge', 0.036043458)","('n09468604', 'valley', 0.034990784)","('n03792782', 'mountain_bike', 0.01539292)","('n09193705', 'alp', 0.013454555)"
37731511456_2f1f4f3bb5.jpg,"('n03991062', 'pot', 0.53460038)","('n03930313', 'picket_fence', 0.096509017)","('n11939491', 'daisy', 0.08470796)","('n07730033', 'cardoon', 0.030188002)","('n03457902', 'greenhouse', 0.021865893)"
37070857544_cf2da859f4.jpg,"('n11939491', 'daisy', 0.085386187)","('n03991062', 'pot', 0.026642345)","('n01698640', 'American_alligator', 0.024974626)","('n01677366', 'common_iguana', 0.023044324)","('n02361337', 'marmot', 0.021680243)"
37520937660_69e29fe54e.jpg,"('n09332890', 'lakeside', 0.77846515)","('n02859443', 'boathouse', 0.10524083)","('n02951358', 'canoe', 0.028191086)","('n02980441', 'castle', 0.0132237)","('n02894605', 'breakwater', 0.01174021)"
37069487544_8eabbc765a.jpg,"('n03388043', 'fountain', 0.89340627)","('n09332890', 'lakeside', 0.045246944)","('n09288635', 'geyser', 0.009938444)","('n04589890', 'window_screen', 0.0093719075)","('n03930313', 'picket_fence', 0.0032427509)"
37779717381_62f12aa10d.jpg,"('n09472597', 'volcano', 0.29679438)","('n09193705', 'alp', 0.29672304)","('n09288635', 'geyser', 0.1088859)","('n02894605', 'breakwater', 0.042418312)","('n02814860', 'beacon', 0.030085027)"
37773748101_49918fa8ae.jpg,"('n03788195', 'mosque', 0.65767014)","('n03877845', 'palace', 0.16778706)","('n03781244', 'monastery', 0.090003371)","('n03220513', 'dome', 0.033880033)","('n03028079', 'church', 0.011680343)"
23927390238_395eae2a01.jpg,"('n04509417', 'unicycle', 0.31176221)","('n09193705', 'alp', 0.12056711)","('n03792782', 'mountain_bike', 0.1022281)","('n09246464', 'cliff', 0.076054797)","('n03733281', 'maze', 0.043744378)"
23926749298_73cb5607e7.jpg,"('n09468604', 'valley', 0.12527947)","('n09246464', 'cliff', 0.10860419)","('n09193705', 'alp', 0.0478485)","('n09399592', 'promontory', 0.043566655)","('n02410509', 'bison', 0.037810132)"
23926259108_8b6333eaa1.jpg,"('n09246464', 'cliff', 0.64428562)","('n09399592', 'promontory', 0.20992991)","('n09468604', 'valley', 0.10508189)","('n03160309', 'dam', 0.024268426)","('n09428293', 'seashore', 0.012091271)"
23927393398_9008f65373.jpg,"('n04326547', 'stone_wall', 0.13979548)","('n03991062', 'pot', 0.08234977)","('n11939491', 'daisy', 0.048717551)","('n12620546', 'hip', 0.029030608)","('n09193705', 'alp', 0.022801885)"
37746904922_c63b7b5eb1.jpg,"('n09332890', 'lakeside', 0.65893918)","('n02980441', 'castle', 0.059176728)","('n03837869', 'obelisk', 0.038706366)","('n03891251', 'park_bench', 0.033962317)","('n03028079', 'church', 0.032041002)"
37731582596_01237522fb.jpg,"('n12985857', 'coral_fungus', 0.094647177)","('n09472597', 'volcano', 0.051765867)","('n03930313', 'picket_fence', 0.032182831)","('n03388043', 'fountain', 0.027791673)","('n02105505', 'komondor', 0.027719174)"
37731208646_461e19152d.jpg,"('n02793495', 'barn', 0.99244386)","('n02859443', 'boathouse', 0.0029487291)","('n03028079', 'church', 0.0020915007)","('n04604644', 'worm_fence', 0.00056110119)","('n07802026', 'hay', 0.00032148155)"
37520442250_c729c8ebf6.jpg,"('n09193705', 'alp', 0.47840044)","('n09468604', 'valley', 0.068725124)","('n04604644', 'worm_fence', 0.052124899)","('n02793495', 'barn', 0.051100425)","('n07802026', 'hay', 0.029308427)"
37521872800_1d46b3527a.jpg,"('n03991062', 'pot', 0.72004163)","('n02219486', 'ant', 0.10927694)","('n12620546', 'hip', 0.01740448)","('n03457902', 'greenhouse', 0.0093993647)","('n04522168', 'vase', 0.0075677396)"
37515635670_25edc0b531.jpg,"('n03837869', 'obelisk', 0.77539551)","('n04486054', 'triumphal_arch', 0.08910957)","('n03388043', 'fountain', 0.026601313)","('n03028079', 'church', 0.025406858)","('n03891251', 'park_bench', 0.018981317)"
37108692563_9dc57be87d.jpg,"('n03933933', 'pier', 0.71066219)","('n02894605', 'breakwater', 0.053780336)","('n03216828', 'dock', 0.049446017)","('n03160309', 'dam', 0.04140481)","('n02859443', 'boathouse', 0.035083618)"
37747803222_9f97d56048.jpg,"('n02980441', 'castle', 0.26125103)","('n04532670', 'viaduct', 0.21610726)","('n02894605', 'breakwater', 0.091050826)","('n03160309', 'dam', 0.063187249)","('n03933933', 'pier', 0.054521173)"
37747079502_d0c06fc797.jpg,"('n01943899', 'conch', 0.53175843)","('n01498041', 'stingray', 0.13393971)","('n01924916', 'flatworm', 0.08395429)","('n01496331', 'electric_ray', 0.050658517)","('n02321529', 'sea_cucumber', 0.041281819)"
37521885380_f04522f858.jpg,"('n11879895', 'rapeseed', 0.98663062)","('n04326547', 'stone_wall', 0.0023782377)","('n03930313', 'picket_fence', 0.0007737659)","('n02793495', 'barn', 0.00076926372)","('n09332890', 'lakeside', 0.00071750669)"
37069734054_0004956e2c.jpg,"('n03598930', 'jigsaw_puzzle', 0.78156793)","('n04462240', 'toyshop', 0.074450709)","('n09428293', 'seashore', 0.032921154)","('n03220513', 'dome', 0.020691238)","('n04346328', 'stupa', 0.015586797)"
37070865854_6e35a9689a.jpg,"('n04326547', 'stone_wall', 0.32794106)","('n03991062', 'pot', 0.080129735)","('n11939491', 'daisy', 0.067456543)","('n03930313', 'picket_fence', 0.044540703)","('n03733281', 'maze', 0.042133469)"
23927773498_f6ce67303e.jpg,"('n09288635', 'geyser', 0.44994828)","('n09246464', 'cliff', 0.14479347)","('n09193705', 'alp', 0.12542439)","('n09468604', 'valley', 0.096438155)","('n09472597', 'volcano', 0.076808557)"
23927365048_f93a81335a.jpg,"('n09193705', 'alp', 0.10812301)","('n09468604', 'valley', 0.061160766)","('n02980441', 'castle', 0.061055079)","('n09472597', 'volcano', 0.054685358)","('n04532670', 'viaduct', 0.054433838)"
37070938664_00b54ee2d3.jpg,"('n03733281', 'maze', 0.16208658)","('n03792972', 'mountain_tent', 0.11470374)","('n03891251', 'park_bench', 0.062149279)","('n03930313', 'picket_fence', 0.049286108)","('n09332890', 'lakeside', 0.045583591)"
23917879678_792351a1b9.jpg,"('n03788195', 'mosque', 0.25359023)","('n02814860', 'beacon', 0.22310767)","('n03903868', 'pedestal', 0.15557611)","('n03877845', 'palace', 0.090908207)","('n03837869', 'obelisk', 0.070612997)"
37070887814_1dc9ed5a32.jpg,"('n04532670', 'viaduct', 0.95706898)","('n04311004', 'steel_arch_bridge', 0.030540658)","('n04523525', 'vault', 0.0027616101)","('n04366367', 'suspension_bridge', 0.001553653)","('n09468604', 'valley', 0.00099337217)"
37521188050_ac7889d83a.jpg,"('n12267677', 'acorn', 0.73684543)","('n12985857', 'coral_fungus', 0.13118632)","('n13044778', 'earthstar', 0.074642293)","('n07734744', 'mushroom', 0.005855788)","('n07718747', 'artichoke', 0.0049697948)"
37731554666_87fb325d68.jpg,"('n03045698', 'cloak', 0.028312795)","('n03930313', 'picket_fence', 0.026815319)","('n03792972', 'mountain_tent', 0.017949177)","('n09246464', 'cliff', 0.016141765)","('n02999410', 'chain', 0.01420994)"
37725438046_4daa9c1b4f.jpg,"('n09332890', 'lakeside', 0.52104038)","('n09468604', 'valley', 0.34157592)","('n02980441', 'castle', 0.030526696)","('n02859443', 'boathouse', 0.027271805)","('n03160309', 'dam', 0.018459821)"
37070420864_836b3b646d.jpg,"('n09472597', 'volcano', 0.21023279)","('n02814860', 'beacon', 0.098431282)","('n04592741', 'wing', 0.089993812)","('n09428293', 'seashore', 0.077320784)","('n09193705', 'alp', 0.06878043)"
37773767791_c5324fb4e4.jpg,"('n04604644', 'worm_fence', 0.28118068)","('n11879895', 'rapeseed', 0.17113809)","('n03891251', 'park_bench', 0.15330933)","('n03733281', 'maze', 0.029110473)","('n09332890', 'lakeside', 0.026208034)"
23927378418_72c9c3decb.jpg,"('n03991062', 'pot', 0.38389221)","('n11939491', 'daisy', 0.11434302)","('n03930313', 'picket_fence', 0.10378759)","('n12620546', 'hip', 0.097726509)","('n02219486', 'ant', 0.027915101)"
37780166351_a82ffa79de.jpg,"('n03980874', 'poncho', 0.10754751)","('n03930313', 'picket_fence', 0.035824306)","('n03457902', 'greenhouse', 0.028509596)","('n04325704', 'stole', 0.027691077)","('n03590841', ""jack-o'-lantern"", 0.027540527)"
37110355353_14c608709d.jpg,"('n12144580', 'corn', 0.063882291)","('n12985857', 'coral_fungus', 0.053252887)","('n01784675', 'centipede', 0.050199844)","('n02233338', 'cockroach', 0.043238688)","('n02643566', 'lionfish', 0.041181676)"
37521897380_bd8073f6d3.jpg,"('n03769881', 'minibus', 0.10758805)","('n03345487', 'fire_engine', 0.094902083)","('n02704792', 'amphibian', 0.06917382)","('n03594945', 'jeep', 0.062145516)","('n09332890', 'lakeside', 0.047508251)"
37520970210_c5477b686e.jpg,"('n09288635', 'geyser', 0.96243274)","('n09472597', 'volcano', 0.01140879)","('n03388043', 'fountain', 0.0022760734)","('n02410509', 'bison', 0.0014033933)","('n04310018', 'steam_locomotive', 0.001100505)"
37520278660_ae93242d18.jpg,"('n04366367', 'suspension_bridge', 0.4012309)","('n03160309', 'dam', 0.21557683)","('n03933933', 'pier', 0.12106703)","('n09332890', 'lakeside', 0.087467179)","('n02894605', 'breakwater', 0.061256155)"
37109891543_148cef192c.jpg,"('n04404412', 'television', 0.16217688)","('n03782006', 'monitor', 0.071802355)","('n02814860', 'beacon', 0.068424962)","('n03529860', 'home_theater', 0.065490641)","('n04152593', 'screen', 0.065179512)"
37070859244_f746e22058.jpg,"('n03930313', 'picket_fence', 0.2230255)","('n03991062', 'pot', 0.21082912)","('n11939491', 'daisy', 0.12545699)","('n03457902', 'greenhouse', 0.041596588)","('n12768682', 'buckeye', 0.033819046)"
37110293683_1f3f8e257e.jpg,"('n12620546', 'hip', 0.53502744)","('n03930313', 'picket_fence', 0.097506009)","('n07747607', 'orange', 0.042882625)","('n03991062', 'pot', 0.030519562)","('n04326547', 'stone_wall', 0.023736436)"
37748338282_c77947c40d.jpg,"('n09246464', 'cliff', 0.50037861)","('n09399592', 'promontory', 0.26161829)","('n09428293', 'seashore', 0.17854024)","('n02894605', 'breakwater', 0.01623247)","('n04606251', 'wreck', 0.01550156)"
37748534932_c51255b893.jpg,"('n12985857', 'coral_fungus', 0.16440934)","('n09246464', 'cliff', 0.091103852)","('n09472597', 'volcano', 0.061804205)","('n04417672', 'thatch', 0.051618867)","('n02321529', 'sea_cucumber', 0.029061766)"
23927417238_f9c4b29465.jpg,"('n09332890', 'lakeside', 0.32863247)","('n03355925', 'flagpole', 0.082114719)","('n02980441', 'castle', 0.046425004)","('n02859443', 'boathouse', 0.043503188)","('n03028079', 'church', 0.032919582)"
23927376188_285ebe8035.jpg,"('n02133161', 'American_black_bear', 0.062023018)","('n03991062', 'pot', 0.028569588)","('n02361337', 'marmot', 0.016338028)","('n02119789', 'kit_fox', 0.015888624)","('n03930313', 'picket_fence', 0.015820604)"
37110344243_fea8268133.jpg,"('n01692333', 'Gila_monster', 0.44385228)","('n03530642', 'honeycomb', 0.10130785)","('n02233338', 'cockroach', 0.052357838)","('n01770393', 'scorpion', 0.032760464)","('n03729826', 'matchstick', 0.031842347)"
37069347724_63d37f9394.jpg,"('n03891251', 'park_bench', 0.16463852)","('n02793495', 'barn', 0.1466223)","('n04604644', 'worm_fence', 0.064052157)","('n02965783', 'car_mirror', 0.036428202)","('n03776460', 'mobile_home', 0.033682566)"
37521882880_c81013a186.jpg,"('n09399592', 'promontory', 0.24768057)","('n09468604', 'valley', 0.098301373)","('n09428293', 'seashore', 0.076710671)","('n09246464', 'cliff', 0.069692053)","('n09193705', 'alp', 0.05233299)"
37522010170_b1dfe361d9.jpg,"('n02980441', 'castle', 0.56665111)","('n03028079', 'church', 0.10106549)","('n02814860', 'beacon', 0.053325158)","('n09332890', 'lakeside', 0.034593474)","('n04366367', 'suspension_bridge', 0.02716234)"
37778468831_d7a6c80c00.jpg,"('n02412080', 'ram', 0.3229675)","('n03868242', 'oxcart', 0.13410826)","('n02410509', 'bison', 0.10764489)","('n02102973', 'Irish_water_spaniel', 0.099522889)","('n02403003', 'ox', 0.064972594)"
37780214691_7264f6beee.jpg,"('n04366367', 'suspension_bridge', 0.42288899)","('n03160309', 'dam', 0.23050058)","('n04532670', 'viaduct', 0.067341201)","('n09468604', 'valley', 0.060230393)","('n09332890', 'lakeside', 0.058732394)"
37070952814_37cd0a639b.jpg,"('n03733281', 'maze', 0.26786652)","('n03792972', 'mountain_tent', 0.096421607)","('n03891251', 'park_bench', 0.078715824)","('n04326547', 'stone_wall', 0.054651387)","('n03792782', 'mountain_bike', 0.044280123)"
23927373598_9856a5979f.jpg,"('n03930313', 'picket_fence', 0.062488373)","('n03000134', 'chainlink_fence', 0.037439052)","('n02843684', 'birdhouse', 0.034752544)","('n03991062', 'pot', 0.032037154)","('n04326547', 'stone_wall', 0.02921929)"
37731609306_295c1f6325.jpg,"('n03792972', 'mountain_tent', 0.27286828)","('n03792782', 'mountain_bike', 0.051053625)","('n03891251', 'park_bench', 0.041594844)","('n04532670', 'viaduct', 0.038185649)","('n09332890', 'lakeside', 0.03704638)"
37109324303_9e6e82e9ae.jpg,"('n09288635', 'geyser', 0.38385305)","('n09332890', 'lakeside', 0.12914242)","('n09468604', 'valley', 0.052082404)","('n04532670', 'viaduct', 0.050335392)","('n03388043', 'fountain', 0.044109937)"
37110297263_beeab28b6d.jpg,"('n04326547', 'stone_wall', 0.18577558)","('n11879895', 'rapeseed', 0.14882328)","('n03733281', 'maze', 0.12876904)","('n09332890', 'lakeside', 0.040771414)","('n07802026', 'hay', 0.030716866)"
37069718464_6db1a693da.jpg,"('n09468604', 'valley', 0.5256539)","('n09193705', 'alp', 0.23237494)","('n09399592', 'promontory', 0.036822427)","('n03792972', 'mountain_tent', 0.034491953)","('n09246464', 'cliff', 0.027793726)"
37521889290_03a405178b.jpg,"('n02165456', 'ladybug', 0.19284058)","('n03134739', 'croquet_ball', 0.05137812)","('n11939491', 'daisy', 0.045248415)","('n03445777', 'golf_ball', 0.045089141)","('n02219486', 'ant', 0.033115279)"
37779592091_cd2b33f65d.jpg,"('n09399592', 'promontory', 0.15252602)","('n09428293', 'seashore', 0.13458788)","('n09246464', 'cliff', 0.074035414)","('n09468604', 'valley', 0.0593233)","('n06359193', 'web_site', 0.045324694)"
37725435726_423f475a21.jpg,"('n03733281', 'maze', 0.24195349)","('n03837869', 'obelisk', 0.13171591)","('n03891251', 'park_bench', 0.083091602)","('n03877845', 'palace', 0.080673121)","('n09332890', 'lakeside', 0.071158491)"
37521881270_ac1db75d69.jpg,"('n09399592', 'promontory', 0.25512719)","('n09468604', 'valley', 0.19038476)","('n04326547', 'stone_wall', 0.177753)","('n09193705', 'alp', 0.098983802)","('n09246464', 'cliff', 0.063576348)"
37521939120_2db85c630e.jpg,"('n03530642', 'honeycomb', 0.13185698)","('n12985857', 'coral_fungus', 0.1028464)","('n12057211', ""yellow_lady's_slipper"", 0.093621902)","('n12267677', 'acorn', 0.054531787)","('n01629819', 'European_fire_salamander', 0.054254025)"
37780070291_de8a7f7cdf.jpg,"('n09399592', 'promontory', 0.33256429)","('n09428293', 'seashore', 0.064802758)","('n09246464', 'cliff', 0.052009854)","('n03743016', 'megalith', 0.047517892)","('n11879895', 'rapeseed', 0.039218493)"
37110216073_ed09b2fec5.jpg,"('n09428293', 'seashore', 0.2092817)","('n09332890', 'lakeside', 0.16575053)","('n03792972', 'mountain_tent', 0.15917988)","('n04507155', 'umbrella', 0.11305912)","('n09421951', 'sandbar', 0.055107657)"
37730024066_9413fc6206.jpg,"('n09428293', 'seashore', 0.06003879)","('n04366367', 'suspension_bridge', 0.03195525)","('n03891251', 'park_bench', 0.030855168)","('n06359193', 'web_site', 0.029524561)","('n04467665', 'trailer_truck', 0.028949101)"
37747023422_ab65f6f444.jpg,"('n02793495', 'barn', 0.57845908)","('n04005630', 'prison', 0.048757736)","('n04286575', 'spotlight', 0.048105795)","('n03891251', 'park_bench', 0.043460298)","('n03467068', 'guillotine', 0.031446569)"
23927381748_9908c0dc36.jpg,"('n04326547', 'stone_wall', 0.10987233)","('n09399592', 'promontory', 0.10889286)","('n03733281', 'maze', 0.096715912)","('n09332890', 'lakeside', 0.090707801)","('n09468604', 'valley', 0.065832354)"
37064811274_52744eeb87.jpg,"('n03388043', 'fountain', 0.99071234)","('n03903868', 'pedestal', 0.0062030545)","('n03837869', 'obelisk', 0.0010371892)","('n04486054', 'triumphal_arch', 0.00046280187)","('n04346328', 'stupa', 0.00033553896)"
37070919384_35f60413ca.jpg,"('n09246464', 'cliff', 0.048432481)","('n04523525', 'vault', 0.0355983)","('n03042490', 'cliff_dwelling', 0.034324519)","('n03637318', 'lampshade', 0.023469236)","('n12985857', 'coral_fungus', 0.018903185)"
37731512846_e4a6cd6bb3.jpg,"('n09428293', 'seashore', 0.24658351)","('n02894605', 'breakwater', 0.21966757)","('n09332890', 'lakeside', 0.13559732)","('n09399592', 'promontory', 0.082452446)","('n03095699', 'container_ship', 0.059042659)"
37731531986_ac75ea2c0c.jpg,"('n09332890', 'lakeside', 0.66636395)","('n02859443', 'boathouse', 0.16372834)","('n02980441', 'castle', 0.049183279)","('n02951358', 'canoe', 0.036980435)","('n09468604', 'valley', 0.010920267)"
37780078591_f69be95a42.jpg,"('n04326547', 'stone_wall', 0.18947999)","('n12985857', 'coral_fungus', 0.052534562)","('n03991062', 'pot', 0.048199646)","('n09468604', 'valley', 0.036134087)","('n11939491', 'daisy', 0.026314868)"
37520758120_0f3125b0e4.jpg,"('n03899768', 'patio', 0.76785785)","('n09332890', 'lakeside', 0.15258949)","('n03457902', 'greenhouse', 0.010720138)","('n09428293', 'seashore', 0.0099257175)","('n03891251', 'park_bench', 0.0047839307)"
37780195041_5a7f3444ab.jpg,"('n02980441', 'castle', 0.50764108)","('n09193705', 'alp', 0.058570974)","('n09472597', 'volcano', 0.040413991)","('n03028079', 'church', 0.038827837)","('n03781244', 'monastery', 0.03394004)"
